,Filter,Orignal
704,hi sorry hear buyers followed open unpaid item claim set buyer requirements block buyers strikes reduce happening see heregt thanks,@115936 Hi. Sorry to hear the buyers have not followed through. Did you open an unpaid item claim? You can set buyer requirements which will block buyers who have strikes against them which will reduce this from happening. See here&gt; https://t.co/5GCQb0IEA0. Thanks ^SG
705,everytime sell something bid comes back fraudulent repost days wasted im done ugh,EVERYTIME i sell something on @115937 @AskeBay the bid comes back as fraudulent and i have to repost.  7 days wasted.  I’m done.  Ugh.
706,hi sorry hear item arrived tracking item not id advise opening item received claim learn heregt questions let us know,"@115938 Hi there. Sorry to hear the item has not arrived. Is there tracking for the item? If not, I'd advise opening an item not received claim. You can learn more about that here&gt; https://t.co/0toc8cKSB0. Any other questions, let us know. ^SG"
707,item marked delivered system would let contact ebay customer service directly sellers fault mismanaged somewhere shipment delivery still file claim,"@AskeBay The item has been marked as delivered, and the system would not let me contact ebay customer service directly. It was not sellers fault, it was mismanaged somewhere between shipment and delivery. Still file a claim?"
708,need contact customer service directly please dm contact email customer service,@AskeBay Need to contact customer service directly. Please DM contact email for customer service
709,seller responsible courier claim lost items courier still open claim ebay protected please follow previous steps cant outbound dm dm us questions,"@115938 As the seller is responsible for the courier, they can claim for lost items from the courier. You still have to open a claim through eBay to be protected. Please follow the previous steps. We cant outbound DM. You can DM us if you have any other questions. ^SG"
710,ok thank help ill,"@AskeBay Ok, thank you for your help, I'll do that."
711,welcome questions please dont hesitate ask thanks,"@115938 You're more than welcome. Any other questions, please dont hesitate to ask. Thanks ^SG"
712,questions ebay transaction dmed explain thanks,"@AskeBay I have further questions about my eBay transaction- I DM'ed to explain, thanks"
713,responded moment ago thanks patience,@115938 Just responded a moment ago - thanks for your patience! ^TL
714,thanks,@AskeBay Thanks!!
715,need assistance situation dmed recap update thanks advance,@AskeBay Need further assistance about situation- I DMed the recap and update. Thanks in advance!
716,need assistance bought item due delivered saturday never received item despite marked delivered response seller delivery services can not assist lostmissing package please advise,"@AskeBay need assistance. Bought item, due to be delivered Saturday. Never received item, despite being marked as delivered. No response from seller, delivery services cannot assist with lost/missing package. Please advise."
717,oh no aspect navigation find difficult now following guide may help,"@115939 Oh no! Any aspect about navigation that you find difficult? For now, the following guide may help: https://t.co/zS2PPOcsyE."
718,getting lists episodes its difficult way annoying plus cant see many choices screen,@hulu_support Getting to the lists of episodes.  It’s not difficult.  Just way more annoying.  Plus you can’t see as many choices on screen at once.
719,apologies difficulties definitely intention well absolutely pass feedback developers,@115939 Apologies for the difficulties! That was definitely not our intention. We'll absolutely pass on your feedback to our developers.
720,thanks,@hulu_support Thanks
721,wife hate new interface enjoy content getting horrible experience,@hulu_support   @115940 my wife and I hate the new  interface.    Enjoy the content but getting their is a horrible experience
722,sorry delay trouble melanie get team you please call using,"@115941 Sorry for the delay and trouble, Melanie! So we can get our team on this with you, please call using: https://t.co/LkhXOWWq74."
723,hi someone changed password hacked asked reset link x hour ago email junk do,@hulu_support Hi! Someone changed my password (hacked). Asked reset link x 3 over an hour ago - no email. Not in junk. What can I do?
724,browsing home press option details gt go show page gt use episodes tab browsepick ep,"@115942 If browsing from Home, press the option for more details &gt; go to the show page &gt; use the Episodes tab to browse/pick an ep."
725,think understand works frustrating used much userfriendly update,"@hulu_support @115942 I think we understand HOW it works, it's just frustrating that it USED to be much more user-friendly before this update."
726,yep,@115943 @hulu_support Yep. This
727,its intuitive takes long find episode want instead episode presented,@hulu_support It’s not intuitive. Takes me too long to find the episode I want instead of the episode presented to me.
728,were sorry hear this heather anything particular new app find frustrating were help,"@115942 We're sorry to hear this, Heather! Anything in particular about the new app that you find frustrating? We're here to help."
729,yep challenging frustrating things dont need youre trying watch bobs burgers,@115944 @115940 Yep. Challenging. Frustrating. Things you don’t need when you’re just trying to watch Bob’s Burgers.
730,it challenging,@115942 @115940 It's....very challenging.
731,feel its important remind new interface made watching want watch nearly impossible zero stars,I feel it’s important to remind @115940 that its new interface has made watching what you want to watch nearly impossible. Zero stars.
732,wed hate see go hdmi mirroring supported time well sure share interest wour team,"@115945 We'd hate to see you go! HDMI mirroring isn't supported at this time, but we'll be sure to share the interest in this w/our team"
733,sounds like generic replh,@hulu_support Sounds like generic #yourenotgonnafixit replh
734,cant make promises hdmi streaming rest assured care concerns shared feedback,"@115945 We can't make any promises about HDMI streaming, but rest assured that we care about your concerns and have shared the feedback."
735,love lost home internetamp learned cant mirror hulu ipad hdmi adapter wanted get hulu live guess ill cancel hulu amp look something like why,Love @115940 but lost home internet&amp; just learned can’t Mirror Hulu on iPad hdmi adapter. Wanted to get Hulu live. Guess I’ll have to cancel all of Hulu &amp; look at @115946 or something like that 😢 why #Hulu why???
736,glad know spotify student account get hulu free,"@115947 You'll be glad to know that if you have a Spotify student account, you can get Hulu for free! https://t.co/dxpbd9X6kS. 🎶 💚 📺"
737,like student discount,@115940 What if you do like @115948 and @115888 and have a student discount
738,college student cant still use momsfamily account im away college,@115940 i am a college student why can’t i still use my Mom’s/family account while I’m away at college
739,hi buses depart northern interchange reading phil,@115949 Hi there. Buses depart from the northern interchange at Reading. Phil.
740,u expect people travel compass,@GWRHelp Do u expect people to travel with a compass???
741,head multistorey car park outside see sign rail replacement phil,"@115949 Head to the multi-storey car park, outside you will see a sign for rail replacement. Phil."
742,boarding pad swindon reading go busdont usually find staff help,@GWRHelp boarding the 22:45 from pad to swindon. Where in reading do I have to go for the bus?dont usually find staff to help!!!
743,really concerning us would love help let us know issues connection kb,@115950 This is really concerning to us and we would love to help. Can you let us know what issues you are having with your connection. KB
744,concerning wouldnt tweeting much last years,@sprintcare If it was concerning I wouldn’t have to be tweeting you so much over the last few years
745,well could fix fucking potato towers albuquerque would start,@sprintcare Well if you could fix your fucking potato towers out here in Albuquerque that would be a start. https://t.co/qyDs2dbgQI
746,hi there service issues huh let us take look shoot us dm assist,@115950 Hi there! Service issues huh? Let us take a look into this for you. Shoot us a DM to assist further. -JA
747,fix,@sprintcare Just fix it
748,fuck fix connection,@115714 fuck you fix my connection
749,click message top profile were always eager assist,@115712 Just click ‘Message’ at the top of your profile. We're always here and eager to assist.
750,ive sent several private messages one responds,@sprintcare I've sent several private messages!!! and no one responds!
751,good contact number reached,@115712 Do you have a good contact number where you can be reached?
752,sent twice apparently noone,@sprintcare I sent it twice now to apparently noone!
753,get touch someone matters spring corporate,@115714 @sprintcare how can I get in touch with someone that matters at Spring Corporate
754,good contact number reached please send private link,@115712 Do you have a good contact number where you can be reached? Please send through the private link.
755,get started here conversation continued secured web browser,@115951 Get started here: https://t.co/dYSbRQ3CL0 Conversation will be continued in your secured web browser. -FR
756,im customer getting runaround unlock ported phones kids phones nite help,@115913 I'm a #TMobile customer getting the runaround from @115714 to unlock ported phones. Now my kids don't have phones 2nite. Help!
757,hello please go link need additional information work getting phones unlocked,@115951 Hello please go to the link I will need additional information to work on getting phones unlocked. -FR
758,hey would love educate amazing sprint flex lease option send us dm lets chat,@115952 Hey we would love to further educate you on our amazing Sprint Flex Lease option. Send us a DM lets chat. -CW
759,months decided upgrade happens remaining months youre mo flex lease like me,"@115714 After those 12 months, if you decided to upgrade what happens to the remaining 6 months if you’re on a 18 mo Flex lease like me?"
760,save big bestselling phones amp get free upgrades phone consecutive ontime payments,"Save big our best-selling phones, &amp; get FREE Upgrades to any phone after 12 consecutive on-time payments https://t.co/yvX1tLnLlZ"
761,hey tayler service issues shoot us dm assistance,"@115953 Hey Tayler, having service issues? Shoot us a DM for further assistance! -RW"
762,wan na actually turn internet towers work nah,@115714 you wanna actually turn on your internet towers to work or nah?
763,look please send account phone number directly private message,@115954 I can look into that for you. Can you please send me your account or phone number directly in a private message? ^AS
764,need idiots stop sending collections owed money owe nothing get shit together,@115955 I need you idiots to stop sending me to collections. YOU owed ME money. I owe you nothing. Get your shit together.
765,apologize were following,@115956 I apologize. We're now following you. ^RR
766,dont follow cant never mind well call got ta say great jury still,"@Ask_Spectrum You don’t follow me so I can’t never mind we’ll call but gotta say @11 was great, jury still out on @12"
767,ok please send dm regarding matter,@115956 OK. Please send a DM regarding this matter when you can. ^RR
768,happy discuss problem dm thru link sent,@Ask_Spectrum Will be happy to discuss my problem in DM but not thru link you sent
769,apologies issues currently id happy help anyway please dm service p,@115956 My apologies for any issues you're currently having. I'd be happy to help anyway we can. Please DM your service p... https://t.co/pcCWPPfuNu
770,trouble cable box help,"@Ask_Spectrum having trouble with a cable box, can you help?"
771,apologize number provided bringing account dm full address please,"@115718 I apologize. The number provided is not bringing up an account. Can you DM me your full address, please? -JB"
772,ill live confusion paul garrison,I’ll do it LIVE so there is no confusion. Paul Garrison 850.266.3576 https://t.co/5GI1Wh765p
773,products well make sure packaging reduced half compared reid,"@115957 ...products. By 2020, we'll make sure that our own packaging has been reduced by half compared to 2005. Reid 2/2"
774,reduce use single use plastic product lines carry,@sainsburys what are you doing to reduce the use of single use plastic in the product lines you carry? #reducewaste
775,true story thanks stopping – enjoy burrito,@115958 True story! Thanks for stopping by – enjoy that burrito. -Becky
776,dont forget cop burrito today,don’t forget to cop your $3 @Chipotletweets burrito today ✨ https://t.co/Yho0pkQhbI
777,look wonderful thanks stopping,@115959 You look WONDERful! Thanks for stopping by. -Becky
778,thanks burrito bowl,Thanks @ChipotleTweets for the $3 burrito bowl! #halloweentreats https://t.co/wjIdjvNvti
779,look right please tell us more,@115960 That doesn't look right. Please tell us more: https://t.co/Ax7W1Dx3Y9 -Becky
780,nope laziness,@ChipotleTweets nope just laziness.
781,know boy ordered half bowl,@ChipotleTweets I didn't know my boy ordered half a bowl... #WheresTheRice? https://t.co/Qmqiy3nYIg
782,absolute best going order,@115961 The absolute best. What are you going to order? -Becky
783,got two burritos chips queso,"@ChipotleTweets We got two burritos, chips and queso. 👍🏼"
784,delish well played,@115961 Delish! Well played. -Becky
785,getting buck burrito becoming tradition halloween,Getting that 3 buck burrito from @ChipotleTweets is becoming a tradition on Halloween #thebest
786,shout stopping by,@115962 Shout out to you for stopping by! -Becky
787,shoutout deal,Shoutout to @ChipotleTweets for doing the $3 deal. 🙏🏼
788,nothing love you friend,"@115963 Nothing but love for you, my friend. -Becky"
789,nothing respect boorito,nothing but the most respect for @ChipotleTweets and this $3 BOOrito
790,creeeeepy thanks stopping by,@115964 Creeeeepy. Thanks for stopping by! -Becky
791,thanks burrito bowl tonight,🎃Thanks @ChipotleTweets for my $3 burrito bowl 👻 tonight! https://t.co/gHVOXof7SG
792,weve turned since annual boorito promo itll back tomorrow,"@115965 We've turned it off since it's our annual Boorito promo, but it'll be back on tomorrow. -Becky"
793,cant order online says can not connect chipotle supercomputer app,"@ChipotleTweets cant order online, says ""cannot connect to chipotle supercomputer."" on the app."
794,food ghosted… spooky,My food just ghosted… Spooky. https://t.co/sLNSNZPZYh
795,true,@115966 So true. -Becky
796,going expecting boorito wo wearing costume like going trick treating wo costume amp expecting candy,Going to @ChipotleTweets expecting a $3 boorito w/o wearing a costume is like going trick or treating w/o a costume &amp; expecting candy. #no
797,true,@115967 So true! -Becky
798,halloween isnt complete unless get bowl guacamole wearing costume,Halloween isn’t complete unless you get your @ChipotleTweets bowl with guacamole for $3 for wearing a costume! #buzzlightyear #halloween
799,dig it thanks stopping happy halloween,@115968 We dig it! Thanks for stopping by. Happy Halloween!
800,wore hoodie wwhole family costume amp scored boorito bowl,Wore my @79588 hoodie to @ChipotleTweets w/whole family in costume &amp; it scored me my boo-rito bowl for $3 😄🎃 #ScientistForHalloween https://t.co/lqBOtbjAmL
801,favorite apologies frustration,"@115969 It was my favorite, too. My apologies for any frustration. -Becky"
802,im frustrated sad thanks compassion,"@ChipotleTweets I'm not frustrated, just sad. But thanks for the compassion."
803,course friend,"@115969 Of course, my friend. -Becky"
804,hey chorizo anymore best thing menu,Hey @ChipotleTweets why don't you have chorizo anymore it was the best thing on the menu
805,yes love shawns cards best,@115970 Yes! I love it. And Shawn's cards are the best. -Becky
806,oh happy halloween,Oh what a Happy Halloween it is 🙌🏼 @ChipotleTweets https://t.co/UvC4oAnUwE
807,same whats goto order,@115971 Same! What's your go-to order? -Becky
808,boorito one favorite halloween traditions,Boorito!!! One of my favorite Halloween traditions. ❤️👻✨🥑🌽🥗 @ChipotleTweets https://t.co/rLKJ3uvw7c
809,best day year,@115972 Best day of the year! -Becky
810,spent even boorito,i just spent $3.00 even on a boorito from @ChipotleTweets 😍
811,thanks stopping by thats great looking duo right,@115973 Thanks for stopping by! That's a great looking duo right there. -Becky
812,favorite holiday booritos chipotyay …,"My favorite holiday... $3 booritos at Chipotyay! @chipotletweets 🎃🌯👻
#chipchiphooray #chipotyay… https://t.co/MC6QVqAt1z"
813,sound right please tell us here,@115974 That doesn't sound right. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
814,guess soccer player costume good enough burrito,I guess my soccer player costume wasn't good enough for a $3 burrito @ChipotleTweets
815,shut boorito promotion itll back tomorrow apologies frustration,"@115975 We shut it off for our Boorito promotion, but it'll be back on tomorrow. My apologies for any frustration. -Becky"
816,app doesnt work anymore ix lame,.@ChipotleTweets app doesn’t work anymore in the 6ix. Lame.
817,fits comfortably inside meal itll,"@115976 If it fits comfortably inside your meal, it'll be $3. -Becky"
818,aye double meat boorito still pay,@ChipotleTweets aye can i do double meat for my boorito and still only pay $3?
819,goes plan open friday,"@115977 If all goes to plan, we should be open on Friday! -Becky"
820,woohoo im gon na first line,@ChipotleTweets Woohoo! I'm gonna be first in line. 😄
821,yeah buddy send us pic sure,"@115977 Yeah, buddy! Send us a pic, for sure. -Becky"
822,hey things go plan checking w broadway location vancouver open today,@ChipotleTweets Hey! Did things go to plan? Just checking if your W. Broadway location in Vancouver is open today...
823,see were good go,"@115977 From what I see, we're good to go. -Tay"
824,hey word w broadway location vancouver open cant wait more,Hey @ChipotleTweets! Any word on when your 532 W. Broadway location in Vancouver will open? Can't wait any more!! #YVRfood #lunchtime
825,oh noooo year,@115978 Oh noooo! Why not this year? -Becky
826,costume becky one wanted shrek tis sad sad tuesday,"@ChipotleTweets No costume, Becky. No one wanted to be Shrek with me. Tis a sad, sad Tuesday☹️"
827,sad indeed still think come in,"@115978 Sad, indeed. I still think you should come in! -Becky"
828,think first time since birth havent gone halloween annual boorito,I think this is the first time since its birth that I haven’t gone to @ChipotleTweets on Halloween for my annual boorito 😞
829,happening please tell us here,@115979 That shouldn't be happening. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
830,go dressed soccer player get burritos,When you go to @ChipotleTweets dressed as a soccer player and don't get 3$ burritos
831,,@115980 😳 -Becky
832,pray becky,@ChipotleTweets Pray for me Becky
833,,@115980 🙏 -Becky
834,halloween total,It's Halloween and my total at @ChipotleTweets was $6.66.....
835,see think means family loves,@115981 See I think that means your family loves you. -Becky
836,think family hates me made get halloween,I think my family hates me! They made me get @ChipotleTweets on Halloween! #3dollarburrito
837,sounds epic,@115982 That sounds so epic. -Becky
838,becky,@ChipotleTweets it was becky it was.
839,walked wearing mermaid man costume get burrito amp ive never felt alive,i just walked into @ChipotleTweets wearing my mermaid man costume to get a $3 burrito &amp; I’ve never felt more alive
840,agreed,@115983 Agreed. -Becky
841,pull old costume get burrito crazy,If you don't pull out that old costume and get a $3 burrito from @ChipotleTweets you are crazy.
842,nicely done makeup point friend,"@115984 Nicely done! Your makeup is on point, my friend. -Becky"
843,looking get burrito,Looking to get a @ChipotleTweets burrito for $3 🌯💀 https://t.co/6xGry0hKUC
844,thanks shout out thanks stopping by,"@115985 Thanks for the shout out, and thanks for stopping by! -Becky"
845,burrito bowl heck yes till close go w halloween costume get deal,A burrito bowl from @ChipotleTweets for just $3...heck yes!! From now till close go in w/ your Halloween costume and get the deal. #12News https://t.co/3LgsDiLruM
846,thats definitely unboolievable please tell us help,@115986 That's definitely unBOOlievable. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
847,thanks becky able go back chipotle pm got booritos,"@ChipotleTweets Thanks, Becky! We were able to go back to Chipotle at 4pm and got our BOOritos."
848,appreciate coming back,@115986 We appreciate you coming back! -Becky
849,got ghosted chipotle went pm told wait another hour unboolievable,@ChipotleTweets Just got ghosted by Chipotle :( Went in at 3pm and was told we had to wait another hour for #BOOritos! UnBOOlievable.
850,long fits comfortably inside meal,"@115987 As long as it fits comfortably inside your meal, it's $3. -Becky"
851,extra meat guac queso included boorito,"@ChipotleTweets is extra meat, guac, and queso included in the boorito?"
852,bill say final bill acm,"@115988 Does this bill say Final Bill?
^ACM"
853,no says amount due,@VerizonSupport no! it just says amount due $27.04
854,please follow dm us,"@115988 Can you please follow and DM us. 
^ACM"
855,outstanding dues th sept paid,@VerizonSupport All outstanding dues before 20th sept has been paid off
856,still receiving bill oct disconnected account sept th pls advise amp reverse charges,Why am I still receiving a bill for oct when I disconnected by account on sept 20th? pls advise &amp; reverse the charges. @115722
857,well refer wireless colleagues since handle fios dsl accounts touch,"@115989 We'll refer this to our wireless colleagues @115990 since we handle Fios and DSL accounts. They will be in touch. 
^HSB"
858,ever since upgraded ulimited data lte speeds terrible fix,"@VerizonSupport ever since I upgraded to Ulimited Data, my LTE speeds are TERRIBLE 😡 Is there a fix?!"
859,help right follow dm us jay,"@115991 We can help right here. Follow and DM us.
^JAY"
860,tf internet keep going bullshit,@verizonsupport why tf does my internet keep going down this is bullshit
861,hello thank reaching us send us dm assistance,@115992 Hello! Thank you for reaching out to us. Send us a DM for further assistance. ^ML
862,“ if dont provide required information feb ”,@115993 @AskPayPal “If I don’t provide the required information by 15 Feb 1970” https://t.co/zTVGb15FH6
863,glad could help out d,@115994 Glad we could help you out! :D ^DP
864,thank you real mvp,THANK YOU!!! @ASKPAYPAL YOU ARE A REAL MVP!!!
865,hi there please send dm,@115995 Hi there! Please send me a DM! ^RA
866,please help recovering hard earned money lost cyber crime paypal case id pp,@115996 can you please help me recovering my hard earned money i lost in a cyber crime on @115993 . PayPal case ID is PP-006-234-348-863
867,ive responded dm please check inbox earliest convenience thank patience,"@115997 I've just responded to your DM, please check your inbox at your earliest convenience. Thank you for your patience! ^KT"
868,hello id like add tracking info invoice add tracking info link always lead blank page please help,"@AskPayPal Hello, I'd like to add tracking info to my invoice but the ""Add tracking info"" link always lead to blank page. Please help."
869,hi there weve replied dm,"@115998 Hi there, we've replied to your DM! ^RA"
870,kidding customer service its terrible,@115993 are you kidding me with this customer service! It’s terrible.
871,sorry hear trouble running please send dm help,@115999 I am sorry to hear about this trouble you are running into. Please send me a DM and I can help you further. ^GA
872,set paypal account fair play bad wondering could shut account restart im,"@AskPayPal I set up a paypal account before i was 18. Fair play, my bad. Was wondering if i could shut down the account so i can restart it now im 18?"
873,sadly can not close account close account op,"@115999 Sadly we cannot close this account until you are 18, but we can close this account once you are 18 and you can op... https://t.co/hIEXXEzY1f"
874,,@AskPayPal I am 18
875,sorry confusion please dm help,@115999 Sorry for the confusion. Please DM me and I can help you. ^GA
876,serious problem need help,@AskPayPal i have a serious problem i need help with.
877,sorry hear trouble accessing account please send dm help,@116000 I am sorry to hear about this trouble with accessing your account. Please send me a DM and I can help you further. ^GA
878,locked account hrs different agents “ reset account me ” amp still dice soon get phone,@AskPayPal Been locked out of my account for 2 hrs. 2 different agents have “reset my account for me” &amp; still no dice as soon as they get off phone
879,good morning customer service rep made cry,"Good morning, a @AskPayPal customer service rep just made me cry."
880,glad help sent dm looking forward help you,@116001 Glad to help! We have sent you a DM looking forward help you?
881,dm question,@AskPlayStation can you dm me I have a question
882,hi there sorry hear that getting error message error code let us know details please,"@116002 Hi there, Sorry to hear that, Are you getting an error message or an error code, Let us know more details please?"
883,its ok fixed thanks,@AskPlayStation It’s ok I fixed it thanks
884,glad hear that feel free message us need help,"@116002 Glad to hear that, Feel free to message us again here if you need help."
885,games buttons work solutions,@AskPlayStation but out of the games the buttons work solutions?
886,ps lets load games cant anything eg fortnite cant press x continue,@AskPlayStation My PS4 lets me load up games but then I can’t do anything in them eg Fortnite can’t press X to continue
887,lamentamos el inconveniente por favor siguenos en twitter para brindarte asistencia por mensajes directos,@116003 Lamentamos el inconveniente. Por favor siguenos en Twitter para brindarte asistencia por mensajes directos.
888,compre una tarjeta de la metí se acreditaron los sale que revise los términos ¿que hago,"@AskPlayStation compre una tarjeta de 50$, la metí y no se me acreditaron los 50$, me sale que revise los términos. ¿Que hago?"
889,odd please turn console disconnect cables minutes try,"@116004 Very odd. Please turn off the console and disconnect all the cables from it for 3 minutes, then try again."
890,yo ps turning recently constantly ejecting game disc thats heck going on,Yo my PS4 has been turning on by itself recently and constantly ejecting the game disc that's in. What the heck is going on? @AskPlayStation
891,glad help sent direct message via twitter instructions,@116005 Glad to help! We have sent you a Direct Message via Twitter with further instructions.
892,account telling reset password dont know date birth know password account help,@AskPlayStation My account is telling me to reset my password but i dont know my date of birth but i know my password for the account. help
893,hi there tried accessing content download queue let us know results,"@116006 Hi there, Have you tried accessing this content from your download queue: https://t.co/lyTEIVBTBn
Let us know the results."
894,psn id quochuy help me email someone try help live chat web block me wtf,"@AskPlayStation my psn id quochuy046, can you help me? Or can I email someone a try for help? live chat on web block me? wtf?"
895,followed instructions not ps set automatic download find library diablo nercromancer,"@AskPlayStation I have followed your instructions, but not, my ps4 has set up automatic download, and find in library there is no diablo 3 nercromancer"
896,bought dlc diablo necromancer hav phys disc ros click necromaner pack game dont download,"@AskPlayStation  i have bought dlc diablo 3 necromancer and hav phys disc D3 ROS but when i click necromaner pack on game , dont download https://t.co/JDdn50e0wo"
897,please check dms instructions,@116007 Please check your DM's for more instructions.
898,less billing issue i updated exp date acct ps able renew make sure stays currentnot lose anything,"@AskPlayStation Less a billing issue (I updated the exp date in acct), more ps+ wasn't able to renew. How do i make sure it stays current/not lose anything?"
899,sorry hear that billing issues please follow steps next link,"@116007 Sorry to hear that! For billing issues, please follow the steps in the next link: https://t.co/7atHEqJw8n"
900,sure cc acct incorrect date renewal ps failed correct this,"@AskPlayStation not sure why my CC in my acct had an incorrect date, but my renewal for ps+ failed. How can I correct this?"
901,hi there assistance please follow us send us direct message look forward reply,"@116008 Hi there! For assistance please follow us and send us a Direct Message, we look forward to your reply."
902,please help,@AskPlayStation please help
903,hi accidentally bought psp game playstation store thinking ps dont psp return it,@AskPlayStation hi I accidentally bought a psp game on the PlayStation store thinking it was for ps3. I don’t have a psp. can I return it?
904,glad help please follow us via twitter let us know send direct message instructions,@116009 Glad to help!  Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions.
905,preordered standard edition cod ww change deluxe edition somehow,I preordered the standard edition of cod ww2. Can I change it to deluxe edition somehow @AskPlayStation
906,sorry read please check dms assistance,@116010 Sorry to read that. Please check your DMs for assistance.
907,someone got account changed email,@AskPlayStation someone got to my account and changed the email
908,better assist you click option reply thanks,"@116011 To better assist you, click on the option below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1"
909,laserjet pro mw print drivers install windows finds printer get error,@HPSupport [Laserjet Pro M102w will not print. Drivers install and windows finds printer but I get an error] #hpcswus #hpprnt
910,hey jacob im help lets run print scan doctor,"@116011 Hey Jacob, I'm here to help! Let's run print and scan doctor: https://t.co/EaeoxKeULN ...1/2"
911,reply thanks,@116012 below and reply. Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
912,im sending notebook hard drive replacement alright format drive factory defaul first,@HPSupport Im sending my notebook in for hard drive replacement. Is it alright if I format the drive to factory defaul first? #hpcswus #hppc
913,fill web form using link reach them thanks,@116013 Fill the web form using this link to reach them- https://t.co/0jQc5ucYzc Thanks! ^Anoop 2/2 https://t.co/a2xkfCrUG1
914,would like speak technician,@HPSupport I would like to speak to a technician #hpsa #hpprnt
915,hey daniel im help wish speak someone need contact hp phone support,"@116013 Hey Daniel, I'm here to help! If you wish to speak to someone then you need to contact HP phone support. ...1/2"
916,merchants site make purchase,@116014 2/2 to the merchant's site to make the purchase. ^BG
917,sounds good thanks,"@ChaseSupport Sounds good, thanks!"
918,hi go chase online ultimate rewards webpage get extra cash back shop,Hi @ChaseSupport do I have to go through the Chase Online Ultimate Rewards webpage to get the extra cash back when I shop?
919,hello order get cash back need click link ultimate rewards website routed,"@116014 1/2 Hello, in order to get the cash back, you'll need to click the link from the Ultimate Rewards website. You'll be routed"
920,appreciate kind words questions concerns please let us know were help,"@116015 We appreciate the kind words. If you have questions or concerns, please let us know. We're here to help. ^CR"
921,ive ups downs banking chase lately theyve really good shoutout,"I've had some ups and downs from banking with Chase, but lately they've been really good to me. So shoutout to you @116016 👏✊"
922,id like review could please dm name amp zip code,@116017 I’d like to review this further for you. Could you please DM your name &amp; zip code? ^BG https://t.co/znUu1VJn9r
923,hey were gon na need talk pending charges keep going account days transaction made im getting real irritated,Hey @116016 we're gonna need to talk about all these pending charges that keep going through my account 5 days after the transaction was made.... I'm getting real irritated.
924,were glad able help,@116018 We're glad we were able to help! ^JG
925,got phone them guys great,"@ChaseSupport Just got off the phone with them, you guys were great!"
926,aw pleasure help let us know additional assistance,@116018 Aw! It's our pleasure to help. Let us know if we can be of additional assistance. ^JG
927,thanks guys,@ChaseSupport Thanks guys!
928,would happy look could dm name zip code,@116018 We would be happy to look into this for you. Could you DM your name and zip code? ^JG https://t.co/znUu1VJn9r
929,find email online apartment address number update ensure card gets me,"@ChaseSupport I couldn't find an e-mail online. You have my apartment address but not my number, how can I update that to ensure the card gets to me?"
930,applied credit card never asked apt tried calling get past automated system,"@ChaseSupport I applied for a credit card and but i was never asked for my apt #, tried calling but couldn't get past your automated system."
931,hello sound good dm account name complete service address would like help,"@116019 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
932,push hard finally got team lead reach oncall tech outage issue solved,@CoxHelp Had to push hard but finally got a team lead to reach out to on-call tech. Outage issue solved; #CSIssue not #CSFail
933,next day turnaround outage issue comes dealing outages,Next day turnaround on an outage issue? @CoxHelp for the #CSFail when it comes to dealing with outages #CSFail #OutageProbs
934,hi fɍsɇnsŧɇɨn please dm account info including street address look,"@116020 Hi 🎃 Fɍ1sꝀɇNsŦɇƗn 👻, please DM account info including street address so we can look into this.  -Greg https://t.co/ovAKPb0TYC"
935,needs fixed permanently,@CoxHelp It needs to be fixed. Permanently. Now.
936,want feel way whats going on,@116020 I don't want you to feel this way. What's going on? -Colleen
937,back fucking business plan internet super cool company recommend,"So @116021 is back fucking me again with my BUSINESS plan internet.

Super cool company.

I don't recommend."
938,hello sound good dm account name complete service address would like help,"@116022 Hello, this does not sound good.  Can you DM the account name and complete service address? We would like to help.  -Dan"
939,id like least one month go dont say crappy service amp much despise,I’d like at least one month to go by where I don’t have to say how crappy the service is with @116021 in #Vegas &amp; how much I despise them
940,hi jeanclaude hope service interruptions need assistance reach us,"@116023 Hi Jean-Claude, I hope you do not have any service interruptions. If you need assistance, reach out to us. -Mike"
941,,@CoxHelp I just did.
942,hi outage still open area working get restored quickly possible thanks patience,"@116023 Hi, the outage is still open in your area and working to get it restored as quickly as possible. Thanks for your patience. -Mary"
943,lookong forward binge hope internet lot outages neighborhood lately,@CoxHelp Been lookong forward to binge on #StrangerThingsSeason2 just hope we have internet. a lot of outages in the neighborhood lately.
944,okay great concerns please reach us,@116024 Okay great! If you have any further concerns please reach out to us. -Xavier
945,seems like problem resolved technicians sent house capable surpassed expectations,"@116021 Seems like my problem has been resolved, the technicians you sent to the house were very capable and surpassed expectations"
946,asked seller yet is see may able help out,@116025 Have you asked the seller yet where it is? See https://t.co/n4jUdNSd5z as they may be able to help out! ^D
947,contacted seller question receive product customer service says may awb wrong,@AskeBay I have contacted seller but my question to you is when will I receive my product. Your customer service says may be the awb no.  is wrong.
948,care want product wish opted ebaybut future going choose ebay worst,@AskeBay I don't care about that I want my product. . I wish I had not opted ebay.but in future I am not going to choose eBay . Because Its the worst
